"UBIGEO","POBLACION"
"x020512",522.000035045
"x020513",971.999958863999
"x020514",519.000162717
"x020515",686.999769340999
"x020601",15859.0038843919
"x020602",2696.00021326699
"x020603",1528.00048054
"x020604",2520.00019931099
"x020605",1574.000378598
"x020606",10178.996659501
"x020607",1446.999377831
"x020608",2483.00123129199
"x020609",2955.000521197
"x020610",3607.99987293701
"x020611",3222.999215135
"x020701",11155.9986356049
"x020702",3324.00087724
"x020703",4336.000510465
"x020801",37190.0000608168
"x020802",5003.00060719902
"x020803",2242.00124621
"x020804",8680.00116845097
"x020901",1774.001150371
"x020902",403.999884482
"x020903",479.000044591
"x020904",2827.99960855399
"x020905",1080.999840498
"x020906",672.999759674
"x020907",735.000012874001
"x021001",9699.996029149
"x021002",1472.00052763
"x021003",2707.00155126901
"x021004",8509.99987494805
"x021005",1876.000365001
"x021006",1502.999534608
"x021007",3588.99816012499
"x021008",2771.99969601901
"x021009",1451.999917959
"x021010",1639.000341044
"x021011",2839.999375246
"x021012",741.000305409001
"x021013",1501.000428805
"x021014",17945.0037264531
"x021015",2662.999458805
"x021016",1368.000155576
"x021101",25590.0046684378
"x021102",816.999741664
"x021103",3304.999326013
"x021104",973.000033613004
"x021105",804.000030161
"x021201",25912.0004025599
"x021202",1062.000024425
"x021203",1419.000162461
"x021204",1716.000359641
"x021205",1970.999931094
"x021206",8476.00007555101
"x021207",6887.00013671602
"x021208",4582.998946083
"x021209",1135.99949276
"x021210",2086.999939214
"x021301",3179.00136147001
"x021302",4025.99978053
"x021303",1384.999527941
"x021304",2029.999566816
"x021305",1069.999851478
"x021306",6191.00267559298
"x021307",2901.000249881
"x021308",1035.000216965
"x021401",1283.999949553
"x021402",703.000086912
"x021403",320.99994814
"x021404",498.000083928
"x021405",1512.000254382
"x021406",1294.000398756
"x021407",300.999923939
"x021408",463.000197768
"x021409",669.999922273
"x021410",445.000089175
"x021501",2609.001101016
"x021502",1071.000176551
"x021503",7825.00000233897
"x021504",553.000133865999
"x021505",1083.000255478
"x021506",537.999825846
"x021507",630.999983421001
"x021508",2517.000151119
"x021509",4204.999294766
"x021510",1135.000094391
"x021511",2860.00119054401
"x021601",14756.001739975
"x021602",3132.001174227
"x021603",6388.99931433701
"x021604",2328.000474559
"x021701",4606.000098037
"x021702",4038.00195426299
"x021703",427.9999615
"x021704",664.000299213
"x021705",944.999964823001
"x021706",1696.000668513
"x021707",969.999613873999
"x021708",1603.000627162
"x021709",448.000008577
"x021710",2668.000794315
"x021801",213872.06679951
"x021802",4788.99995936396
"x021803",16653.0116302401
"x021804",3340.00052881199
"x021805",8311.00120604106
"x021806",14413.004354394
"x021807",4921.000134554
"x021808",21306.0012713278
"x021809",163579.039416936
"x021901",5598.99970207599
"x021902",1694.999739045
"x021903",567.000032784
"x021904",2935.99893746499
"x021905",949.999827975999
"x021906",3762.00043345001
"x021907",2447.00104819299
"x021908",2447.000227813
"x021909",6722.002122257
"x021910",1560.99995634
"x022001",21577.0000479221
"x022002",1748.000476018
"x022003",6862.9994769161
"x022004",1495.999917387
"x022005",12761.000477355
"x022006",2898.99995910701
"x022007",1955.000267048
"x022008",5601.002394887
"x030101",71259.9987104138
"x030102",1396.000395769
"x030103",1951.99991168
"x030104",17064.9961035851
"x030105",3068.99908389301
"x030106",3169.00053490801
"x030107",2927.999689592
"x030108",2678.99929129899
"x030109",11204.00508127
"x030201",43559.9815856054
"x030202",5756.999476395
"x030203",1237.999864822
"x030204",5453.99818344902
"x030205",3964.999717933
"x030206",793.000005489
"x030207",6453.00094391397
"x030208",3618.00048054502
"x030209",8681.00005207403
"x030210",2317.999670372
"x030211",910.999968407
"x030212",3047.00019287001
"x030213",21914.9925900669
"x030214",1693.999768127
"x030215",8769.99643915001
"x030216",19251.0005062431
"x030217",1964.998948825
"x030218",3815.00019089499
"x030219",1875.99910593
"x030220",4185.999926685
"x030301",2924.99929510701
"x030302",576.999964713
"x030303",1908.999912135
"x030304",1787.99964176
"x030305",2401.99920665001
"x030306",1099.000416875
"x030307",1160.999594072
"x030401",5073.99950583401
"x030402",621.000044706
"x030403",988.999900339
"x030404",1972.000392699
"x030405",729.00007273
"x030406",2754.999192047
"x030407",484.0001309
"x030408",780.999988444
"x030409",1613.000351807
"x030410",1065.999855387
"x030411",798.999854444
"x030412",1156.00033344
"x030413",745.000072952001
"x030414",1948.99949649
"x030415",2407.000008472
"x030416",1346.999621541
"x030417",1027.00045777
"x030501",10756.996339215
"x030502",4106.99950087201
"x030503",6967.00151680205
"x030504",9948.99996235999
"x030505",6180.00074495599
"x030506",15018.002576823
"x030601",5534.99967855899
"x030602",10746.004188065
"x030603",1823.999515785
"x030604",6979.000345979
"x030605",7208.00021590101
"x030606",2478.999983416
"x030607",2819.999886033
"x030608",4256.00051214401
"x030609",2822.001195321
"x030610",1802.000618
"x030611",1051.000437621
"x030701",5314.000617735
"x030702",2043.00022936
"x030703",2926.99965086
"x030704",1437.000559916
"x030705",903.999853847
"x030706",971.000113593
"x030707",837.999988078
"x030708",3119.00019002
"x030709",287.999994755
"x030710",592.999914397
"x030711",666.999991652999
"x030712",1302.000011576
"x030713",705.000017774
"x030714",1286.999392986
"x040101",57847.0005164074
"x040102",88055.9791449731
"x040103",99967.9919614808
"x040104",207113.863462295
"x040105",14046.9976984009
"x040106",3127.998747859
"x040107",52425.9992558541
"x040108",35943.0200427767
"x040109",63899.0264623785
"x040110",62895.0034863515
"x040111",5207.999725196
"x040112",135922.925812119
"x040113",493.000172974
"x040114",930.999984363001
"x040115",5042.99955085902
"x040116",4510.999067532
"x040117",25611.989205807
"x040118",691.000094894
"x040119",1490.000422494
"x040120",770.999974726
"x040121",6961.99981272298
"x040122",78761.9972890175
"x040123",17101.9998978269
"x040124",15391.0000829714
"x040125",4198.00192993905
"x040126",26511.9972365921
"x040127",1457.99977922
"x040128",36454.9975064555
"x040129",84251.0005799074
"x040201",13568.9960659449
"x040202",4690.00110522102
"x040203",7609.99955547304
"x040204",6451.00313515197
"x040205",7602.99753267501
"x040206",4285.00009765499
"x040207",1043.999946724
"x040208",16363.9954215789
"x040301",4288.999901636
"x040302",5099.99955232099
"x040303",5752.99992011602
"x040304",541.99999275
"x040305",3321.000301358
"x040306",682.000001342
"x040307",9385.00255430903
"x040308",3806.000348946
"x040309",3164.00012236799
"x040310",1654.000104666
"x040311",1546.000071179
"x040312",1968.999482173
"x040313",2032.000121727
"x040401",9249.998518903
"x040402",1101.999981062
"x040403",261.000053882
"x040404",1757.999936234
"x040405",1025.000324491
"x040406",767.000332724999
"x040407",1609.000413659
"x040408",545.999914884
"x040409",8799.99944483601
"x040410",2152.000211609
"x040411",474.000010121999
"x040412",220.999991177
"x040413",6936.00067843809
"x040414",1659.999599924
"x040501",6242.00033616299
"x040502",906.999957077
"x040503",2314.000278374
"x040504",1598.999304063
"x040505",3898.000574344
"x040506",1220.000207309
"x040507",729.000323181
"x040508",1106.000029924
"x040509",598.000068906999
"x040510",969.9998803
"x040511",788.000018599001
"x040512",755.999975561
"x040513",692.999941585999
"x040514",975.000159139001
"x040515",726.000069009999
"x040516",800.999999652999
"x040517",1601.999553904
"x040518",672.00005353
"x040519",2271.000443553
"x040520",65909.0089085451
"x040601",3525.99970616101
"x040602",710.999835971
"x040603",3473.999915788
